package,crop,adm0,adm1,adm2,season,variety_a,variety_b,variety_c,variety_d,rank_variety_a,rank_variety_b,rank_variety_c,rank_variety_d,planting_date,day,month,year,DOY,lon,lat,overall_performance,best,worst,overall_vs_local,var_a,var_b,var_c,yield,best_yield,worst_yield,soil,maxDT_VEG,minDT_VEG,maxNT_VEG,minNT_VEG,SU_VEG,TR_VEG,DTR_VEG,MLDS_VEG,MLWS_VEG,R5mm_VEG,R10mm_VEG,R20mm_VEG,SDII_VEG,Rx1day_VEG,Rx5day_VEG,Rtotal_VEG,maxDT_FLO,minDT_FLO,maxNT_FLO,minNT_FLO,SU_FLO,TR_FLO,DTR_FLO,MLDS_FLO,MLWS_FLO,R5mm_FLO,R10mm_FLO,R20mm_FLO,SDII_FLO,Rx1day_FLO,Rx5day_FLO,Rtotal_FLO,maxDT_GRA,minDT_GRA,maxNT_GRA,minNT_GRA,SU_GRA,TR_GRA,DTR_GRA,MLDS_GRA,MLWS_GRA,R5mm_GRA,R10mm_GRA,R20mm_GRA,SDII_GRA,Rx1day_GRA,Rx5day_GRA,Rtotal_GRA,maxDT_FLO_acc,minDT_FLO_acc,maxNT_FLO_acc,minNT_FLO_acc,SU_FLO_acc,TR_FLO_acc,DTR_FLO_acc,MLDS_FLO_acc,MLWS_FLO_acc,R5mm_FLO_acc,R10mm_FLO_acc,R20mm_FLO_acc,SDII_FLO_acc,Rx1day_FLO_acc,Rx5day_FLO_acc,Rtotal_FLO_acc,maxDT_GRA_acc,minDT_GRA_acc,maxNT_GRA_acc,minNT_GRA_acc,SU_GRA_acc,TR_GRA_acc,DTR_GRA_acc,MLDS_GRA_acc,MLWS_GRA_acc,R5mm_GRA_acc,R10mm_GRA_acc,R20mm_GRA_acc,SDII_GRA_acc,Rx1day_GRA_acc,Rx5day_GRA_acc,Rtotal_GRA_acc
paquete 471,commonbean,NIC,El Cua,El Bote,Apante-2015,INTA Fuerte Sequia,INTA Centro Sur,BRT 103-182,-9999,-9999,-9999,-9999,-9999,16784,15,12,2015,349,-85.67,13.36,Overall_performance-(A/B/C),C,A,Overall_performance_VS_Local-(Best/Worse),Worse,Worse,Worse,Yield-(A/B/C),C,A,Haplic Nitisols,25.95838493,25.67528161,16.32887355,15.64388288,0,0,9.914291309,16,2,2,0,0,0.727384949,9.40246582,18.18462372,18.18462372,28.18783663,25.9684558,15.99281984,15.47771354,0,0,11.22701507,17,1,0,0,1,1.884311808,54.64504242,54.64504242,54.64504242,30.46046997,28.30365162,16.50340918,15.97040283,4,0,13.07474524,8,1,1,0,0,0.642192383,7.56448555,7.56448555,16.05480957,28.18783663,25.67528161,16.32887355,15.47771354,0,0,10.63182096,34,2,2,0,1,1.348697521,54.64504242,54.64504242,72.82966614,30.46046997,25.67528161,16.50340918,15.47771354,4,0,11.34255286,34,2,3,0,1,1.169532575,54.64504242,54.64504242,88.88447571
paquete 29,commonbean,NIC,El Cua,El Golfo Central,Apante-2015,INTA Matagalpa,INTA Precoz,INTA Centro Sur,-9999,-9999,-9999,-9999,-9999,16790,21,12,2015,355,-85.64,13.38,Overall_performance-(A/B/C),C,B,Overall_performance_VS_Local-(Best/Worse),Worse,Worse,Better,Yield-(A/B/C),-9999,B,Haplic Nitisols,27.28719508,26.94856024,16.55503916,15.91560985,0,0,10.961817,22,1,0,0,0,0,0,0,0,29.00384558,27.37668407,16.44696382,15.95334204,0,0,11.92030365,11,2,1,0,1,2.253649481,38.40510559,57.60765839,65.35583496,31.79934353,29.15490862,17.13133532,16.31093995,13,0,13.79232413,10,2,0,0,0,0.361941299,4.918574333,9.048532486,9.048532486,29.00384558,26.94856024,16.55503916,15.91560985,0,0,11.48812674,34,2,1,0,1,1.21029324,38.40510559,57.60765839,65.35583496,31.79934353,26.94856024,17.13133532,15.91560985,13,0,12.15448429,34,2,1,0,1,0.979004835,38.40510559,57.60765839,74.40436745
paquete 490,commonbean,NIC,El Cua,El Bote,Apante-2015,INTA Ferroso,ALS 0532-6,SJC 730-79,-9999,-9999,-9999,-9999,-9999,16784,15,12,2015,349,-85.66,13.36,Overall_performance-(A/B/C),A,B,Overall_performance_VS_Local-(Best/Worse),Better,Worse,Worse,Yield-(A/B/C),A,C,Haplic Nitisols,26.33804178,25.55792242,16.42547557,15.83226781,0,0,9.818045505,16,2,2,0,0,0.727384949,9.40246582,18.18462372,18.18462372,28.81314808,26.4437859,16.02750839,15.69631108,0,0,11.77926479,17,1,0,0,1,1.884311808,54.64504242,54.64504242,54.64504242,31.41290936,28.92392764,16.62340918,16.03026856,9,0,13.75122753,8,1,1,0,0,0.642192383,7.56448555,7.56448555,16.05480957,28.81314808,25.55792242,16.42547557,15.69631108,0,0,10.89236912,34,2,2,0,1,1.348697521,54.64504242,54.64504242,72.82966614,31.41290936,25.55792242,16.62340918,15.69631108,9,0,11.72484358,34,2,3,0,1,1.169532575,54.64504242,54.64504242,88.88447571
paquete 753,commonbean,NIC,El Cua,El Cefer,Apante-2015,INTA Precoz,BRT 103-182,INTA Rojo,-9999,-9999,-9999,-9999,-9999,16790,21,12,2015,355,-85.59,13.41,Overall_performance-(A/B/C),B,C,Overall_performance_VS_Local-(Best/Worse),Worse,Better,Worse,Yield-(A/B/C),B,C,Haplic Nitisols,25.83071988,25.75140246,16.45714659,15.89701231,0,0,9.580079516,22,1,0,0,0,0,0,0,0,27.03815367,25.81067885,15.90917941,15.69250653,0,0,10.64720267,11,1,1,0,1,2.253358381,57.10746765,57.10746765,65.34739304,28.43934353,27.08347258,16.39800448,15.92932115,0,0,11.60111153,10,2,1,0,0,0.398127365,5.408181667,9.953184128,9.953184128,27.03815367,25.75140246,16.45714659,15.69250653,0,0,10.16257837,34,1,1,0,1,1.210136908,57.10746765,57.10746765,65.34739304,28.43934353,25.75140246,16.45714659,15.69250653,0,0,10.58158749,34,2,2,0,1,0.990797068,57.10746765,57.10746765,75.30057716
paquete 677,commonbean,NIC,El Cua,Los Corintios,Apante-2015,SJC 730-79,INTA Centro Sur,PM2 Don Rey,-9999,-9999,-9999,-9999,-9999,16815,15,1,2016,15,-85.64,13.38,Overall_performance-(A/B/C),C,B,Overall_performance_VS_Local-(Best/Worse),Worse,Worse,Worse,Yield-(A/B/C),C,B,Haplic Nitisols,28.77725103,27.47739276,16.44696382,16.00369638,0,0,11.88129887,10,2,1,0,1,2.614233398,38.40510559,57.60765839,65.35583496,32.21224916,28.92831406,17.21190228,16.31093995,17,0,13.8228367,13,2,0,0,0,0.473561747,4.918574333,9.048532486,13.73329067,34.27658709,32.41870198,18.35560985,17.25218575,20,0,15.5898357,7,1,1,0,0,0.506247292,8.014878273,8.014878273,12.65618229,32.21224916,27.47739276,17.21190228,16.00369638,17,0,12.94082529,14,2,1,0,1,1.464613438,38.40510559,57.60765839,79.08912563,34.27658709,27.47739276,18.35560985,16.00369638,38,0,13.71720296,14,2,2,0,1,1.207175104,38.40510559,57.60765839,91.74530792
paquete 754,commonbean,NIC,El Cua,El Cefer,Apante-2015,INTA Centro Sur,SJC 730-79,ALS 0532-6,-9999,-9999,-9999,-9999,-9999,16789,20,12,2015,354,-85.58,13.41,Overall_performance-(A/B/C),A,C,Overall_performance_VS_Local-(Best/Worse),Better,Worse,Worse,Yield-(A/B/C),A,B,Haplic Nitisols,26.18746736,25.69736292,15.99827303,15.52931369,0,0,10.16464243,21,1,1,0,0,0.343791924,8.594798088,8.594798088,8.594798088,27.90648266,26.24451324,16.02696382,15.51908243,0,0,11.34844489,12,1,1,0,1,2.253358381,57.10746765,57.10746765,65.34739304,29.39522193,28.04243939,16.57253637,15.73201417,0,0,12.70625028,11,2,1,0,0,0.398127365,5.408181667,9.953184128,9.953184128,27.90648266,25.69736292,16.02696382,15.51420739,0,0,10.81442059,34,1,2,0,1,1.369299836,57.10746765,57.10746765,73.94219112,29.39522193,25.69736292,16.57253637,15.51420739,0,0,11.36531576,34,2,3,0,1,1.103886516,57.10746765,57.10746765,83.89537525
paquete_nic_apante_2016_1_104,commonbean,NIC,Waslala,Santa Maria Kubali,Apante-2016,INTA Rojo,INTA Ferroso,SJC 730-79,-9999,-9999,-9999,-9999,-9999,17162,27,12,2016,362,-85.87,13.34,Overall_performance-(A/B/C),C,A,Overall_performance_VS_Local-(Best/Worse),Worse,Worse,Better,Yield-(A/B/C),C,B,Haplic Nitisols,24.34017531,22.95526296,14.73982469,14.32723238,0,0,8.98047619,8,2,2,3,0,1.850778122,11.07403564,19.52497005,46.26945305,25.83908243,24.39556509,14.68443491,14.24087654,0,0,10.68750693,11,2,3,2,0,1.537984684,11.54924679,21.96673107,44.60155582,26.70187244,25.91461395,14.97798583,14.33410295,0,0,11.63846379,8,1,2,0,0,0.641633778,8.472884178,8.472884178,16.04084444,25.83908243,22.95526296,14.73982469,14.24087654,0,0,9.895044583,11,2,5,5,0,1.682796461,11.54924679,27.03615665,90.87100887,26.70187244,22.95526296,14.97798583,14.24087654,0,0,10.40503703,11,2,8,5,0,1.496195743,11.54924679,27.03615665,113.7108765
paquete 42,commonbean,NIC,El Cua,El Golfo Central,Apante-2015,INTA Centro Sur,PM2 Don Rey,INTA Fuerte Sequia,-9999,-9999,-9999,-9999,-9999,16789,20,12,2015,354,-85.66,13.37,Overall_performance-(A/B/C),B,C,Overall_performance_VS_Local-(Best/Worse),Worse,Better,Worse,Yield-(A/B/C),B,C,Haplic Nitisols,26.56102947,26.1051809,16.07827303,15.78609474,0,0,10.39051439,21,1,1,0,0,0.376098633,9.40246582,9.40246582,9.40246582,28.26286833,26.62814621,16.42641179,15.78816486,0,0,11.26897482,12,1,1,0,1,2.145156137,54.64504242,54.64504242,62.20952797,30.80104066,28.42400224,16.99208877,16.37040283,8,0,12.91475643,8,1,0,0,0,0.339612961,4.649596691,4.649596691,8.49032402,28.26286833,26.1051809,16.42641179,15.77350615,0,0,10.87327639,34,1,2,0,1,1.326148033,54.64504242,54.64504242,71.61199379,30.80104066,26.1051809,16.99208877,15.77350615,8,0,11.46340518,34,1,2,0,1,1.053977866,54.64504242,54.64504242,80.10231781
paquete 31,commonbean,NIC,El Cua,El Golfo Central,Apante-2015,ALS 0532-6,BRT 103-182,INTA Rojo,-9999,-9999,-9999,-9999,-9999,16796,27,12,2015,361,-85.63,13.39,Overall_performance-(A/B/C),C,A,Overall_performance_VS_Local-(Best/Worse),Worse,Worse,Better,Yield-(A/B/C),-9999,-9999,Haplic Nitisols,27.36215218,26.3806602,16.21773592,16.03140246,0,0,10.73894256,22,1,0,0,0,0,0,0,0,29.67877285,27.51321522,16.64530772,16.12720254,0,0,12.16757374,10,2,1,0,1,2.253649481,38.40510559,57.60765839,65.35583496,32.0764752,29.99600522,17.18995897,16.55917568,19,0,14.20291981,10,2,0,0,0,0.549331627,4.918574333,9.048532486,13.73329067,29.67877285,26.3806602,16.64530772,16.03140246,0,0,11.52208594,28,2,1,0,1,1.21029324,38.40510559,57.60765839,65.35583496,32.0764752,26.3806602,17.18995897,16.03140246,19,0,12.30244559,28,2,1,0,1,1.04064639,38.40510559,57.60765839,79.08912563
paquete 489,commonbean,NIC,El Cua,El Bote,Apante-2015,INTA Rojo,INTA Matagalpa,INTA Precoz,-9999,-9999,-9999,-9999,-9999,16784,15,12,2015,349,-85.67,13.36,Overall_performance-(A/B/C),C,A,Overall_performance_VS_Local-(Best/Worse),Worse,Better,Better,Yield-(A/B/C),C,A,Haplic Nitisols,25.95838493,25.67528161,16.32887355,15.64388288,0,0,9.914291309,16,2,2,0,0,0.727384949,9.40246582,18.18462372,18.18462372,28.18783663,25.9684558,15.99281984,15.47771354,0,0,11.22701507,17,1,0,0,1,1.884311808,54.64504242,54.64504242,54.64504242,30.46046997,28.30365162,16.50340918,15.97040283,4,0,13.07474524,8,1,1,0,0,0.642192383,7.56448555,7.56448555,16.05480957,28.18783663,25.67528161,16.32887355,15.47771354,0,0,10.63182096,34,2,2,0,1,1.348697521,54.64504242,54.64504242,72.82966614,30.46046997,25.67528161,16.50340918,15.47771354,4,0,11.34255286,34,2,3,0,1,1.169532575,54.64504242,54.64504242,88.88447571
paquete 475,commonbean,NIC,El Cua,El Bote,Apante-2015,PM2 Don Rey,ALS 0532-6,INTA Fuerte Sequia,-9999,-9999,-9999,-9999,-9999,16774,5,12,2015,339,-85.64,13.35,Overall_performance-(A/B/C),C,B,Overall_performance_VS_Local-(Best/Worse),Better,Better,Better,Yield-(A/B/C),-9999,A,Haplic Nitisols,25.38636703,24.87,16.44126072,15.66772473,0,0,8.895737513,6,1,4,0,0,1.176082668,9.57138443,17.10746574,29.40206671,26.11631854,25.46265946,15.516326,14.81631108,0,0,10.7539257,27,1,0,0,0,0,0,0,0,27.63538978,26.2573107,15.60530772,15.20456173,0,0,11.40019582,10,1,1,0,1,1.846131287,38.40510559,38.40510559,46.15328217,26.11631854,24.87,16.44126072,14.81631108,0,0,9.917854756,34,1,4,0,0,0.544482717,9.57138443,17.10746574,29.40206671,27.63538978,24.87,16.44126072,14.81631108,0,0,10.35083267,34,2,5,0,1,1.246814496,38.40510559,57.60765839,94.75790167
paquete 686,commonbean,NIC,El Cua,La-9999 Central,Apante-2015,ALS 0532-6,INTA Rojo,BRT 103-182,-9999,-9999,-9999,-9999,-9999,16784,15,12,2015,349,-85.64,13.39,Overall_performance-(A/B/C),B,A,Overall_performance_VS_Local-(Best/Worse),Worse,Worse,Better,Yield-(A/B/C),-9999,A,Haplic Nitisols,27.06450205,26.53,16.43030586,16.02903767,0,0,10.54927266,16,1,1,0,0,0.224279556,5.606988907,5.606988907,5.606988907,28.59845953,27.1299627,16.38219694,15.95350615,0,0,11.67463605,17,2,0,0,1,1.986470979,38.40510559,57.60765839,57.60765839,30.85875793,28.70420366,16.90389407,16.29093995,6,0,13.09540358,14,2,1,0,0,0.671868362,7.748176575,9.048532486,16.79670906,28.59845953,26.53,16.43030586,15.95350615,0,0,11.1675991,34,2,1,0,1,1.170641617,38.40510559,57.60765839,63.21464729,30.85875793,26.53,16.90389407,15.95350615,6,0,11.72583806,34,2,2,0,1,1.052781005,38.40510559,57.60765839,80.01135635
paquete 24,commonbean,NIC,El Cua,La Chata,Apante-2015,PM2 Don Rey,BRT 103-182,ALS 0532-6,-9999,-9999,-9999,-9999,-9999,16789,20,12,2015,354,-85.63,13.36,Overall_performance-(A/B/C),B,A,Overall_performance_VS_Local-(Best/Worse),Worse,Better,Worse,Yield-(A/B/C),B,A,Haplic Nitisols,27.13995151,26.53295412,15.78507646,15.53965684,0,0,11.16806822,21,1,1,0,0,0.224279556,5.606988907,5.606988907,5.606988907,28.21004849,27.06088027,16.30558374,15.55179784,0,0,11.70218713,12,2,1,0,1,2.253649481,38.40510559,57.60765839,65.35583496,30.65716151,28.26543827,16.77238717,16.19080567,4,0,12.72713204,11,2,0,0,0,0.361941299,4.918574333,9.048532486,9.048532486,28.21004849,26.53295412,16.30558374,15.53210369,0,0,11.46317314,34,2,2,0,1,1.314126368,38.40510559,57.60765839,70.96282387,30.65716151,26.53295412,16.77238717,15.53210369,4,0,11.82658888,34,2,2,0,1,1.052781005,38.40510559,57.60765839,80.01135635
