LAT,LON,YEAR,DOY,T2M_MAX,T2M_MIN
12.75,-85.75,2015,258,31.31,22.52
12.75,-85.25,2015,258,31.22,23.63
12.75,-84.75,2015,258,32.06,24.54
12.75,-84.25,2015,258,32.29,25.2
13.25,-86.25,2015,258,31.8,20.58
13.25,-85.75,2015,258,30.6,21.62
13.25,-85.25,2015,258,31.17,23.08
13.25,-84.75,2015,258,32.21,24.25
13.25,-84.25,2015,258,32.54,24.98
13.75,-86.25,2015,258,31.4,20.4
13.75,-85.75,2015,258,30.99,21.51
13.75,-85.25,2015,258,31.28,22.63
13.75,-84.75,2015,258,32.1,23.67
13.75,-84.25,2015,258,32.68,24.56
14.25,-86.25,2015,258,31.16,20.61
14.25,-85.75,2015,258,31.11,21.73
14.25,-85.25,2015,258,31.35,22.72
14.25,-84.75,2015,258,31.93,23.61
14.25,-84.25,2015,258,32.38,24.41
14.75,-86.25,2015,258,30.92,20.47
14.75,-85.75,2015,258,30.55,21.22
14.75,-85.25,2015,258,30.94,22.5
14.75,-84.75,2015,258,31.56,23.61
14.75,-84.25,2015,258,31.83,24.42
12.75,-86.25,2015,259,33.33,22.11
12.75,-85.75,2015,259,31.52,22.34
12.75,-85.25,2015,259,31.62,23.07
12.75,-84.75,2015,259,32.26,23.96
12.75,-84.25,2015,259,32.21,24.86
13.25,-86.25,2015,259,32.37,20.5
13.25,-85.75,2015,259,31.17,21.44
13.25,-85.25,2015,259,31.73,22.53
13.25,-84.75,2015,259,32.81,23.58
13.25,-84.25,2015,259,33.1,24.56
13.75,-86.25,2015,259,32.47,20.39
13.75,-85.75,2015,259,32.03,21.34
13.75,-85.25,2015,259,32.2,22.2
13.75,-84.75,2015,259,32.97,23.05
13.75,-84.25,2015,259,33.5,24.05
14.25,-86.25,2015,259,32.5,20.6
14.25,-85.75,2015,259,32.64,21.64
14.25,-85.25,2015,259,32.92,22.32
14.25,-84.75,2015,259,33.4,22.9
14.25,-84.25,2015,259,33.63,23.72
14.75,-86.25,2015,259,32.42,20.39
14.75,-85.75,2015,259,32.35,21.25
14.75,-85.25,2015,259,32.95,22.28
14.75,-84.75,2015,259,33.54,23.21
14.75,-84.25,2015,259,33.47,24.03
12.75,-86.25,2015,260,34.07,22.7
12.75,-85.75,2015,260,31.77,21.92
12.75,-85.25,2015,260,31.71,22.44
12.75,-84.75,2015,260,32.16,23.15
12.75,-84.25,2015,260,31.68,23.93
13.25,-86.25,2015,260,33.31,20.94
13.25,-85.75,2015,260,31.36,20.99
13.25,-85.25,2015,260,31.73,22.03
13.25,-84.75,2015,260,32.31,22.97
13.25,-84.25,2015,260,31.8,23.77
13.75,-86.25,2015,260,33.45,20.69
13.75,-85.75,2015,260,32.34,20.92
13.75,-85.25,2015,260,32.1,21.71
13.75,-84.75,2015,260,32.02,22.51
13.75,-84.25,2015,260,31.63,23.43
14.25,-86.25,2015,260,33.83,20.83
14.25,-85.75,2015,260,33.54,21.27
14.25,-85.25,2015,260,33.17,21.73
14.25,-84.75,2015,260,32.65,22.27
14.25,-84.25,2015,260,32.04,23.15
14.75,-86.25,2015,260,34.15,20.33
14.75,-85.75,2015,260,33.77,20.76
14.75,-85.25,2015,260,33.68,21.46
14.75,-84.75,2015,260,33.45,22.28
14.75,-84.25,2015,260,32.77,23.31
12.75,-86.25,2015,261,30.48,22.55
12.75,-85.75,2015,261,29.19,21.98
12.75,-85.25,2015,261,29.59,22.52
12.75,-84.75,2015,261,30.07,23.32
12.75,-84.25,2015,261,29.96,24.12
13.25,-86.25,2015,261,29.73,21
13.25,-85.75,2015,261,29.19,21.33
13.25,-85.25,2015,261,30,22.33
13.25,-84.75,2015,261,30.98,23.25
13.25,-84.25,2015,261,31.13,24.01
13.75,-86.25,2015,261,30.15,20.89
13.75,-85.75,2015,261,29.98,21.48
13.75,-85.25,2015,261,30.66,22.21
13.75,-84.75,2015,261,31.72,22.91
13.75,-84.25,2015,261,32.21,23.7
14.25,-86.25,2015,261,30.68,21.33
14.25,-85.75,2015,261,30.96,21.94
